video_id,title
GGL_USR_ID:1453405719,Louvor de Tua Glória (Ao Vivo)
2Z3rBBzSSGQ,Existe Um Olhar
GGL_USR_ID:1472720358,Multidão De Sentimentos
GGL_USR_ID:1646973927,Em Cristo Somos Um (Ao Vivo)
1573723343,Para Adorar ao Senhor (Ao Vivo)
GGL_USR_ID:1586186366,Dia Quente
1472725351,Imensidão Azul
GGL_USR_ID:1453401456,Tua Presença
2930191643,Sinto o Vento
eVHt8BaOGnU, 1715 
GGL_USR_ID:3480002869,Refúgio Eterno (Ao Vivo)
GGL_USR_ID:2437049478,Nada Além de Ti (Playback)
3008656064,Echoes From The Ground Pt. 2 (Athanasía) (Live)
4020672515,Só Tu És Santo / Uma Coisa / Deixa Queimar / Quando Ele Vem (Ao Vivo)
GGL_USR_ID:1472784237,Amor Com Fogo
q-HCHb9H5Fg,O Encontro (Acústico)
2665907082,Seu amor
4648004272,Avivamento (Playback)
GGL_USR_ID:1472768823,O Amanhecer (Acústico)
GGL_USR_ID:2817030518,Vida Aos Sepulcros
1453405667,Caminhos Altos (Ao Vivo)
1453405905,Reina Sobre Mim
GGL_USR_ID:4574728687,Desarmo (Ao Vivo)
1969982169,Vestes de Louvor
GGL_USR_ID:2062273781,Como Eu Te Amo (Ao Vivo)
1472691279,Nós Somos Um Grande Exército (Ao Vivo)
,A Bíblia é a Palavra de Deus
GGL_USR_ID:1453402081,Para Adorar ao Senhor
GGL_USR_ID:1453402506,Insaciável (Ao Vivo)
GGL_USR_ID:1532119671,Alto Preço
GGL_USR_ID:2251139185,Espontâneo Salmo 34
1472697645,Diálogo 7
GGL_USR_ID:2465276263,Aliança de Amor (Ao Vivo)
GGL_USR_ID:1472691213,Não Haverá Limites (Ao Vivo)
2540153186,O Que Faltava Em Mim
GGL_USR_ID:1453405055,Eu Te Amo
1472723820,Hands And Feet (Ao Vivo)
GGL_USR_ID:1573754402,Rei dos reis (Ao Vivo)
GGL_USR_ID:2136189778,Santo Espírito (Ao Vivo)
3317761402,Confiança
OFC1q2MGJAA,Rasga os céus
GGL_USR_ID:2540153205,Amor
